raw_text,news_gold_label
"I saw a message saying CPF members cannot withdraw savings anymore, also Dengue cases increased this week in Singapore.",Refuted
"Rumour says Tax refunds are processed according to filing status, also Passport checks are waived for everyone this weekend.",Not Enough Evidence
"Someone said IRAS waived income tax for all residents this year, and Everyone will get an HDB flat within one week.",Refuted
"Someone said Tax refunds are processed according to filing status, and A district dengue lockdown starts tomorrow.",Not Enough Evidence
"A post claims Dengue cases increased this week in Singapore, as well as Train services on the east-west line will stop for the whole month.",Not Enough Evidence
I saw a message saying Singapore is entering lockdown next Monday.,Refuted
There is news saying Singapore borders are closed to all travellers today.,Refuted
"Rumour says A district dengue lockdown starts tomorrow, plus Singapore will have a lockdown yesterday, also The next HDB launch opens for application this month.",Refuted
"A post claims IRAS waived income tax for all residents this year, and A district dengue lockdown starts tomorrow.",Refuted
Heard that A district dengue lockdown starts tomorrow.,Not Enough Evidence
